x y y_analytic yRK4 yRK5 h
0.254 -0.157926 -0.100627 -0.157926 -0.157926 1.57117e-06
0.255 -0.159165 -0.101414 -0.159165 -0.159165 1.57135e-06
0.256 -0.160409 -0.102204 -0.160409 -0.160409 1.57153e-06
0.257 -0.161657 -0.102997 -0.161657 -0.161657 1.57172e-06
0.258 -0.162911 -0.103793 -0.162911 -0.162911 1.5719e-06
0.259 -0.164169 -0.104591 -0.164169 -0.164169 1.57209e-06
0.26 -0.165432 -0.105393 -0.165432 -0.165432 1.57227e-06
0.261 -0.1667 -0.106198 -0.1667 -0.1667 1.57246e-06
0.262 -0.167972 -0.107005 -0.167972 -0.167972 1.57266e-06
0.263 -0.16925 -0.107816 -0.16925 -0.169249 1.57285e-06
0.264 -0.170532 -0.108629 -0.170532 -0.170532 1.57304e-06
0.265 -0.171819 -0.109445 -0.171819 -0.171818 1.57324e-06
0.266 -0.17311 -0.110265 -0.17311 -0.17311 1.57344e-06
0.267 -0.174407 -0.111087 -0.174407 -0.174407 1.57364e-06
0.268 -0.175708 -0.111912 -0.175708 -0.175708 1.57384e-06
0.269 -0.177014 -0.11274 -0.177014 -0.177014 1.57404e-06
0.27 -0.178325 -0.113572 -0.178325 -0.178325 1.57425e-06
0.271 -0.17964 -0.114406 -0.17964 -0.17964 1.57446e-06
0.272 -0.180961 -0.115242 -0.180961 -0.180961 1.57467e-06
0.273 -0.182286 -0.116082 -0.182286 -0.182286 1.57488e-06
0.274 -0.183616 -0.116925 -0.183616 -0.183616 1.57509e-06
0.275 -0.18495 -0.117771 -0.18495 -0.18495 1.57531e-06
0.276 -0.18629 -0.118619 -0.18629 -0.18629 1.57552e-06
0.277 -0.187634 -0.119471 -0.187634 -0.187634 1.57574e-06
0.278 -0.188983 -0.120325 -0.188983 -0.188983 1.57596e-06
0.279 -0.190337 -0.121183 -0.190337 -0.190337 1.57619e-06
0.28 -0.191695 -0.122043 -0.191695 -0.191695 1.57641e-06
0.281 -0.193059 -0.122906 -0.193059 -0.193059 1.57664e-06
0.282 -0.194427 -0.123772 -0.194427 -0.194427 1.57687e-06
0.283 -0.1958 -0.124641 -0.1958 -0.195799 1.5771e-06
0.284 -0.197177 -0.125513 -0.197177 -0.197177 1.57733e-06
0.285 -0.198559 -0.126388 -0.198559 -0.198559 1.57757e-06
0.286 -0.199947 -0.127265 -0.199947 -0.199947 1.5778e-06
0.287 -0.201339 -0.128146 -0.201339 -0.201338 1.57804e-06
0.288 -0.202735 -0.129029 -0.202735 -0.202735 1.57828e-06
0.289 -0.204137 -0.129916 -0.204137 -0.204137 1.57853e-06
0.29 -0.205543 -0.130805 -0.205543 -0.205543 1.57877e-06
0.291 -0.206954 -0.131697 -0.206954 -0.206954 1.57902e-06
0.292 -0.208369 -0.132592 -0.208369 -0.208369 1.57927e-06
0.293 -0.20979 -0.13349 -0.20979 -0.20979 1.57952e-06
0.294 -0.211215 -0.13439 -0.211215 -0.211215 1.57978e-06
0.295 -0.212645 -0.135294 -0.212645 -0.212645 1.58003e-06
0.296 -0.21408 -0.1362 -0.21408 -0.21408 1.58029e-06
0.297 -0.215519 -0.13711 -0.215519 -0.215519 1.58055e-06
0.298 -0.216963 -0.138022 -0.216963 -0.216963 1.58082e-06
0.299 -0.218412 -0.138937 -0.218412 -0.218412 1.58108e-06
0.3 -0.219866 -0.139855 -0.219866 -0.219866 1.58135e-06
0.301 -0.221325 -0.140775 -0.221325 -0.221325 1.58162e-06
0.302 -0.222788 -0.141699 -0.222788 -0.222788 1.58189e-06
0.303 -0.224256 -0.142625 -0.224256 -0.224256 1.58217e-06
0.304 -0.225729 -0.143554 -0.225729 -0.225729 1.58245e-06
0.305 -0.227206 -0.144487 -0.227206 -0.227206 1.58273e-06
0.306 -0.228688 -0.145421 -0.228688 -0.228688 1.58301e-06
0.307 -0.230175 -0.146359 -0.230175 -0.230175 1.58329e-06
0.308 -0.231667 -0.1473 -0.231667 -0.231667 1.58358e-06
0.309 -0.233163 -0.148243 -0.233163 -0.233163 1.58387e-06
0.31 -0.234665 -0.149189 -0.234665 -0.234665 1.58416e-06
0.311 -0.236171 -0.150139 -0.236171 -0.236171 1.58446e-06
0.312 -0.237681 -0.15109 -0.237681 -0.237681 1.58475e-06
0.313 -0.239197 -0.152045 -0.239197 -0.239197 1.58505e-06
0.314 -0.240717 -0.153003 -0.240717 -0.240717 1.58536e-06
0.315 -0.242242 -0.153963 -0.242242 -0.242242 1.58566e-06
0.316 -0.243771 -0.154926 -0.243771 -0.243771 1.58597e-06
0.317 -0.245306 -0.155892 -0.245306 -0.245306 1.58628e-06
0.318 -0.246845 -0.156861 -0.246845 -0.246845 1.58659e-06
0.319 -0.248389 -0.157832 -0.248389 -0.248389 1.58691e-06
0.32 -0.249937 -0.158806 -0.249937 -0.249937 1.58722e-06
0.321 -0.251491 -0.159784 -0.251491 -0.25149 1.58754e-06
0.322 -0.253049 -0.160763 -0.253049 -0.253048 1.58787e-06
0.323 -0.254611 -0.161746 -0.254611 -0.254611 1.58819e-06
0.324 -0.256179 -0.162732 -0.256179 -0.256179 1.58852e-06
0.325 -0.257751 -0.16372 -0.257751 -0.257751 1.58885e-06
0.326 -0.259328 -0.164711 -0.259328 -0.259328 1.58919e-06
0.327 -0.26091 -0.165704 -0.26091 -0.26091 1.58953e-06
0.328 -0.262496 -0.166701 -0.262496 -0.262496 1.58987e-06
0.329 -0.264087 -0.1677 -0.264087 -0.264087 1.59021e-06
0.33 -0.265683 -0.168702 -0.265683 -0.265683 1.59056e-06
0.331 -0.267284 -0.169707 -0.267284 -0.267283 1.59091e-06
0.332 -0.268889 -0.170715 -0.268889 -0.268889 1.59126e-06
0.333 -0.270499 -0.171725 -0.270499 -0.270499 1.59161e-06
0.334 -0.272114 -0.172738 -0.272114 -0.272113 1.59197e-06
0.335 -0.273733 -0.173754 -0.273733 -0.273733 1.59233e-06
0.336 -0.275357 -0.174772 -0.275357 -0.275357 1.5927e-06
0.337 -0.276986 -0.175794 -0.276986 -0.276986 1.59306e-06
0.338 -0.27862 -0.176818 -0.27862 -0.27862 1.59343e-06
0.339 -0.280258 -0.177844 -0.280258 -0.280258 1.59381e-06
0.34 -0.281901 -0.178874 -0.281901 -0.281901 1.59418e-06
0.341 -0.283549 -0.179906 -0.283549 -0.283549 1.59456e-06
0.342 -0.285201 -0.180941 -0.285201 -0.285201 1.59494e-06
0.343 -0.286858 -0.181978 -0.286858 -0.286858 1.59533e-06
0.344 -0.28852 -0.183018 -0.28852 -0.28852 1.59572e-06
0.345 -0.290187 -0.184061 -0.290187 -0.290187 1.59611e-06
0.346 -0.291858 -0.185107 -0.291858 -0.291858 1.59651e-06
0.347 -0.293534 -0.186156 -0.293534 -0.293534 1.59691e-06
0.348 -0.295215 -0.187207 -0.295215 -0.295215 1.59731e-06
0.349 -0.2969 -0.18826 -0.2969 -0.2969 1.59772e-06
0.35 -0.29859 -0.189317 -0.29859 -0.29859 1.59813e-06
0.351 -0.300285 -0.190376 -0.300285 -0.300285 1.59854e-06
0.352 -0.301985 -0.191438 -0.301985 -0.301985 1.59895e-06
0.353 -0.303689 -0.192502 -0.303689 -0.303689 1.59937e-06
0.354 -0.305398 -0.193569 -0.305398 -0.305398 1.5998e-06
0.355 -0.307111 -0.194639 -0.307111 -0.307111 1.60022e-06
0.356 -0.30883 -0.195711 -0.30883 -0.30883 1.60065e-06
0.357 -0.310553 -0.196786 -0.310553 -0.310553 1.60109e-06
0.358 -0.312281 -0.197864 -0.312281 -0.312281 1.60153e-06
0.359 -0.314013 -0.198945 -0.314013 -0.314013 1.60197e-06
0.36 -0.31575 -0.200028 -0.31575 -0.31575 1.60241e-06
0.361 -0.317492 -0.201113 -0.317492 -0.317492 1.60286e-06
0.362 -0.319239 -0.202202 -0.319239 -0.319238 1.60331e-06
